gd_diff,streak_diff,weighted_diff,form_diff,home_form,away_form,corners_diff,shotsontarget_diff,shots_diff,goals_avg_diff,overall_diff,attack_diff,midfield_diff,defense_diff,h2h_home_wins,h2h_draws,h2h_away_wins,h2h_home_goals_avg,h2h_away_goals_avg,h2h_games,home_position,away_position,position_diff,home_points,away_points,points_diff,B365H,B365D,B365A,prob_home,prob_draw,prob_away,prob_home_norm,prob_draw_norm,prob_away_norm,h2h_confidence,away_advantage,season_trend,position_form_home,position_form_away,strength_balance,latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,latent_15,Result,Season
0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0,0,0,0.0,0.0,0,1,19,-18,0,0,0,2.3,3.25,3.0,0.4347826086956522,0.3076923076923077,0.3333333333333333,0.40414507772020725,0.2860103626943005,0.3098445595854922,0.0,18.81188118811881,0.0,0.9900990099009901,18.81188118811881,17.82178217821782,5.3362384,1.5017302,0.0,0.7718301,0.0,4.2091126,0.0,1.9960071,0.58377784,0.0,0.0,1.4086356,0.0,0.25446874,2.2855825,0.0,1,2006
0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-9.0,-9.0,-10.0,-6.0,0,0,0,0.0,0.0,0,3,16,-13,0,0,0,5.0,3.4,1.72,0.2,0.29411764705882354,0.5813953488372093,0.18595777155939963,0.27346731111676414,0.5405749173238361,0.0,5.3156146179401995,0.0,2.9702970297029703,15.841584158415841,12.871287128712872,2.7309065,1.2951024,1.4153523,0.0,0.0,2.9894664,0.25054604,2.011092,0.27917188,0.6493576,1.1119223,1.8548846,0.015419483,0.0,0.9289806,2.5862436,2,2006
0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,4,12,-8,0,0,0,2.37,3.25,2.87,0.42194092827004215,0.3076923076923077,0.3484320557491289,0.3913871743335613,0.28541157020632013,0.3232012554601186,0.0,2.9925187032418954,0.0,3.9603960396039604,11.881188118811881,7.920792079207921,1.8209918,0.67979205,0.54586554,0.0,0.0,2.0558496,0.29600582,1.3221426,0.0,0.0,1.0513906,1.8150796,1.3308368,0.27899802,1.005828,0.0,1,2006
0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-1.0,0,0,0,0.0,0.0,0,6,18,-12,0,0,0,1.72,3.4,5.0,0.5813953488372093,0.29411764705882354,0.2,0.5405749173238362,0.2734673111167642,0.18595777155939966,0.0,2.995008319467554,0.0,5.9405940594059405,17.821782178217823,11.881188118811883,1.3907788,0.27955484,0.574417,0.0,0.025770456,1.7414439,0.011758387,0.75982004,0.0,0.0,1.4563463,0.41245264,0.9316074,0.5757578,1.1678874,0.0,1,2006
0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-14.0,-16.0,-14.0,-12.0,0,0,0,0.0,0.0,0,8,16,-8,0,0,0,2.87,3.2,2.4,0.3484320557491289,0.3125,0.4166666666666667,0.3233411923206466,0.28999663186257996,0.3866621758167733,0.0,1.9975031210986267,0.0,7.920792079207921,15.841584158415841,7.920792079207921,0.81882346,0.16810489,1.4226241,0.0,0.18101877,1.6576643,0.0,1.1795349,0.0,0.0,2.1331894,1.9190512,0.0,0.0,0.0,1.7133083,1,2006
0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-8.0,-10.0,-8.0,-6.0,0,0,0,0.0,0.0,0,10,18,-8,0,0,0,2.75,3.2,2.5,0.36363636363636365,0.3125,0.4,0.337909186906019,0.29039070749736007,0.3717001055966209,0.0,1.7982017982017982,0.0,9.900990099009901,17.821782178217823,7.9207920792079225,1.0790062,0.45064202,1.0144876,0.0,0.09280577,1.7944992,0.05272472,1.2646902,0.0,0.016248912,1.6567166,2.067089,0.051924825,0.0,0.2767807,1.1863995,2,2006
0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,6.0,0,0,0,0.0,0.0,0,11,16,-5,0,0,0,2.37,3.2,2.9,0.42194092827004215,0.3125,0.3448275862068966,0.39095083624720894,0.28954796309558917,0.3195012006572019,0.0,1.4532243415077202,0.0,10.89108910891089,15.841584158415841,4.950495049504951,1.7890599,1.0149283,0.1127975,0.0,0.0,1.8432052,0.5907458,1.3817098,0.0,0.3131777,0.62008435,1.9529451,2.7308457,0.5138799,1.2058578,0.0,2,2006
0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-2.0,0,0,0,0.0,0.0,0,12,15,-3,0,0,0,2.5,3.2,2.75,0.4,0.3125,0.36363636363636365,0.3717001055966209,0.29039070749736007,0.337909186906019,0.0,1.2489592006661117,0.0,11.881188118811881,14.85148514851485,2.9702970297029694,1.359901,0.5413338,0.5866255,0.046356738,0.014091432,1.6447996,0.39153492,1.2679536,0.0,0.19635086,1.0591071,2.0867472,1.6076236,0.2880873,0.68919855,0.1340757,0,2006
0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,9.0,12.0,10.0,5.0,0,0,0,0.0,0.0,0,13,15,-2,0,0,0,1.4,4.2,8.0,0.7142857142857143,0.23809523809523808,0.125,0.6629834254143647,0.22099447513812154,0.11602209944751382,0.0,1.1529592621060722,0.0,12.871287128712872,14.85148514851485,1.9801980198019784,0.80025333,0.019242406,0.66516733,0.0,0.0,0.96950394,0.43947837,0.28871113,0.45536995,0.0,1.0722389,0.0,2.5120833,1.4730158,1.9250549,0.0,0,2006
0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-17.0,-16.0,-18.0,-17.0,0,0,0,0.0,0.0,0,14,15,-1,0,0,0,10.0,4.5,1.33,0.1,0.2222222222222222,0.7518796992481203,0.09310103445593841,0.20689118767986311,0.7000077778641985,0.0,1.0706638115631693,0.0,13.861386138613861,14.85148514851485,0.9900990099009892,1.6544087,0.12839341,2.8721805,0.0,0.0,2.1106772,0.5049363,1.6723342,1.3083832,2.924453,1.2531543,0.33404827,0.0,0.0,0.5056812,5.1110477,2,2006
