latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,latent_15,Result,Season
4.085579,5.363892,3.3981347,3.2221148,0.8993619,2.62855,0.0,1.4932775,0.0,0.14644861,0.0,0.0,1.2664313,0.17539054,2.0904095,3.3297007,1,2006
1.8657843,2.1031504,2.1002097,0.74215806,1.290631,1.9092225,2.3606672,0.15930277,0.8804683,0.1988821,0.0,0.0,0.09770268,0.18941456,0.0,2.3618824,2,2006
1.4241716,1.6917063,1.3305961,0.77517086,1.1429396,1.3675848,0.0,1.1116164,0.0,0.13021588,0.003726542,0.0,0.34949642,0.49015412,0.0,2.2805119,1,2006
0.7342743,1.8994957,1.2337267,0.5246847,0.61888295,1.4918551,0.0,1.3978629,0.0,0.10303438,0.2636128,0.0,0.0,1.1744739,0.0,1.9912548,1,2006
0.7271204,1.5714681,1.9939449,0.29460528,1.7997298,2.378931,0.79322934,0.40713555,0.0,0.22244471,0.14543235,0.0,0.81774557,0.35690585,0.0,1.4426175,1,2006
0.9929321,1.4349103,1.6176436,0.43392268,1.6431011,1.9022206,0.5074754,0.6315689,0.03794232,0.13974297,0.014672875,0.0,0.6585346,0.39982334,0.0,1.7233564,2,2006
1.6871402,1.1298751,0.75042063,0.83889633,0.89962476,0.607437,0.0,1.393439,0.0,0.094475925,0.100185394,0.0,0.39538497,0.28192812,0.0,2.6122108,2,2006
1.3011081,1.050454,1.0853684,0.68885577,1.4192574,1.2077701,0.0,1.085295,0.06387688,0.08091855,0.1631495,0.0,0.6998415,0.29299927,0.0,2.1099703,0,2006
0.2878046,0.8562859,0.33714986,0.6083777,0.0,0.74489796,0.0,1.9887378,0.0,0.0,1.2709637,0.0,0.0,1.7168574,1.0228289,1.7734458,0,2006
0.8228727,0.0,1.3848467,0.0,0.6996656,1.7732961,5.0118523,0.0,3.0843627,0.109577954,0.40548146,0.0,0.0,0.51494765,0.0,1.9096066,2,2006
1.4154565,1.2623788,1.1210765,0.0036835074,1.5557854,2.064921,0.0,2.3875072,0.25087258,0.22203237,0.37103838,0.0,0.08201653,0.0,0.0,1.104982,2,2006
0.95109284,0.05408901,0.0069193244,1.7694829,1.4322425,1.6249855,0.0,2.2829754,1.46433,0.14311373,0.5374096,0.047491588,2.1091807,0.0,0.0,1.4328538,0,2006
2.8952107,3.4771252,0.40762866,0.29353914,0.511666,2.7735538,0.0,0.49081624,0.0,1.533108,0.8301382,0.99056304,0.0,0.14889115,1.0885509,2.7888339,0,2006
0.0,1.9399136,1.3110255,0.53589565,0.015045345,0.056152344,0.0,0.9288755,0.0,0.0,2.5582116,0.76935434,0.0,2.5487828,1.3436167,1.9151862,0,2006
0.25011563,0.18266976,0.39487785,0.29162672,0.0,0.5402405,0.0,0.6969414,0.0,0.0,3.0854988,0.0,0.0,2.8872783,2.5947106,1.8527864,0,2006
0.79732317,0.7140365,2.762891,1.7709014,1.1727746,1.2990177,0.0,4.176608,1.4451048,0.0,1.2982081,0.0,2.489984,0.9547504,0.5736498,0.8853232,1,2006
1.0543346,0.5216526,0.0,1.1516266,0.9097327,0.7188786,0.0,0.0,0.0,0.78872186,1.4531062,0.0,0.0,0.6557823,0.0,3.147174,0,2006
1.6656656,2.4982533,0.9035508,0.07011169,0.4583219,0.3569154,0.0,0.92710227,0.0,0.20403737,0.72644794,1.0998322,0.0,0.4918043,0.0,2.7271903,0,2006
0.9706675,1.8024955,0.4436279,0.39457935,0.92374027,2.2627437,0.0,0.0,0.0,0.8509416,0.29378292,0.9845491,0.0,0.49290547,0.0,2.173519,2,2006
0.7018572,1.13485,1.4111972,0.631418,1.3975635,0.61427724,0.0,1.3224757,0.0,0.0,0.89128697,0.0,0.80731046,0.9635937,0.0,2.0167594,0,2006
1.7568836,0.58695984,0.6617478,0.6650165,1.1189128,1.3826325,0.0,1.2840357,0.18505818,0.16051406,0.0,0.0,0.6172724,0.005333364,0.0,2.087217,2,2006
0.7090952,0.0,1.2236534,1.4297817,2.1496449,1.2235093,0.0,0.19160247,1.7409263,0.0,0.99287456,0.76942533,3.318164,0.5219883,0.0,1.7233725,1,2006
1.5379174,0.0,1.370827,1.8937964,1.6614575,1.6749806,0.0,2.6804132,3.1001973,0.0,0.15457985,0.12653391,3.2060373,0.0,0.0,1.3741257,2,2006
0.8053916,0.29968768,0.14975488,0.022870123,0.0,1.134345,0.0,2.1086235,0.0,0.05213076,2.088603,0.0,0.0,2.4102778,2.8096108,1.4711674,0,2006
1.6011473,0.37360734,1.8550951,0.8685595,1.7310075,2.2091718,0.44599122,2.03198,0.6810188,0.0,0.0,0.0,1.6302848,0.4895702,0.0,1.4234972,1,2006
1.1498258,0.29420432,0.8467047,0.970641,1.2493498,2.1081555,0.0,0.41151482,0.0,0.25520128,0.0,0.0,1.1117797,0.6875782,0.0,1.9818919,0,2006
0.0,0.15550601,0.6226984,0.5938821,0.0,1.0484413,0.0,1.0793988,0.0,0.0,2.813422,0.0,0.0,2.994488,2.9605665,1.5338185,0,2006
0.8363018,1.607689,0.7617185,1.0605187,1.2143818,1.2861047,0.0,2.5171313,0.6792763,0.18616217,0.47346416,0.0,0.7610117,0.0,0.0,1.641114,0,2006
0.5528903,0.7094384,1.5724454,1.5643247,1.4490266,1.9728065,0.26252836,0.8168284,0.585567,0.0,0.0,0.0,2.2641475,0.7180045,0.0,1.7625139,0,2006
0.77050304,2.401891,0.28214663,0.6860867,0.5952395,0.53232753,0.0,0.4106542,0.0,0.5048454,1.7832787,0.20779565,0.0,0.51731706,0.59166795,2.5864654,0,2006
0.7108278,1.597466,1.7362353,1.2763896,1.990225,1.1103984,1.9181122,1.1224766,1.602989,0.0,0.053474963,0.0,1.1727322,0.19301951,0.0,1.8928418,2,2006
1.3208205,1.4578266,0.13515198,0.52490264,1.3304269,0.3065359,0.0,1.2075986,0.27352864,0.22279137,1.1023211,0.3930238,0.12047857,0.0,0.0,2.2880087,2,2006
0.5865348,1.7728165,0.46612105,1.104718,1.6516933,0.48076436,0.0,1.19721,0.3591526,0.19699812,0.85733354,0.0,0.44126022,0.0,0.0,2.0762975,2,2006
0.31742966,1.4438648,1.3946235,0.40214288,1.4411404,1.3621376,0.0,1.0167879,0.7135875,0.0,1.6155753,2.3763654,1.4396404,0.28536308,0.0,0.9486065,0,2006
0.6817541,1.6652585,1.6573399,1.1052074,1.209934,1.486079,0.0,3.1199875,0.19955894,0.0,0.4973188,0.0,0.8127366,0.46982548,0.0,1.3655214,2,2006
0.5493069,1.5513852,2.5012789,1.9414079,1.5948837,1.5735384,2.4160302,2.1582308,2.898304,0.0,0.26392362,0.0,1.9388032,0.21372002,0.0,1.44139,2,2006
1.593255,1.0645571,1.9535698,1.4722619,1.4649189,1.3793449,0.0,2.9709518,0.8746763,0.0,0.0,0.0,1.8361354,0.64551353,0.0,1.7364775,2,2006
4.508421,6.7544055,4.0228844,3.812936,0.0,3.1115732,0.0,1.1129339,0.0,0.4686317,3.7184882,4.707406,0.0,0.80404437,8.170587,2.4742246,0,2006
0.7866226,1.4111975,0.2781903,0.29614544,0.833659,0.12728518,0.0,1.8515232,0.0,0.0,1.6256256,0.8324629,0.0,0.14217764,0.0,2.0047004,2,2006
0.54248446,0.61221975,0.037229776,0.25214532,0.0028585792,0.7504668,0.0,2.0312564,0.0,0.03808099,1.4143102,0.0,0.0,1.5153731,0.8628048,1.967422,1,2006
0.77429396,1.8976911,2.371976,0.6742061,2.0216522,1.6907995,2.190643,1.6198884,2.2944012,0.0,0.51992327,0.0,1.075009,0.0,0.0,1.2559314,0,2006
0.5875717,0.87217104,1.0337465,0.8054009,0.61157805,1.0073829,0.0,2.285285,0.18545765,0.0,0.6462855,0.33089757,1.1955813,1.0756772,0.0,1.6815246,1,2006
0.86211276,1.750347,1.2303436,0.92115515,1.3269316,1.9278952,0.22916877,1.574125,0.1431051,0.21283633,0.0,0.0,0.49983102,0.0,0.0,1.725043,1,2006
1.6261109,0.79379135,0.27343035,1.0850871,0.55809885,0.988866,0.0,1.8255275,0.0,0.126189,0.0245229,0.03357388,0.5845047,0.1728692,0.0,2.2979705,2,2006
0.90085,1.3479327,0.5860288,0.50970596,1.2578667,1.365358,0.0,0.41852474,0.0,0.41145778,0.7924597,0.0,0.0,0.32746744,0.0,2.1474392,1,2006
0.78679407,0.6210752,0.9695534,1.3370444,1.602326,1.2891052,0.0,0.473371,0.1584189,0.07788396,0.23444921,0.0,1.6468065,0.57523215,0.0,2.2227929,0,2006
1.8027896,0.4533124,1.1406238,0.31189924,1.6762495,2.098518,0.3854977,2.0364542,0.98575425,0.06145066,0.05571246,0.0,1.0704964,0.027339935,0.0,1.3340544,1,2006
